protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT825_4_P63038	P63038	CH60_MOUSE	60 kDa heat shock protein, mitochondrial	Representative isoform	33	87	26
PRT825_4_Q9R0H0	Q9R0H0	ACOX1_MOUSE	Peroxisomal acyl-coenzyme A oxidase 1	Representative isoform	29	92	6
PRT825_4_Q9QZW0	Q9QZW0	AT11C_MOUSE	Phospholipid-transporting ATPase 11C	Representative isoform	25	49	0
PRT825_4_P01027	P01027	CO3_MOUSE	Complement C3	Representative isoform	25	38	22
PRT825_4_P32020	P32020	NLTP_MOUSE	Non-specific lipid-transfer protein	Representative isoform	23	95	17
PRT825_4_P34914	P34914	HYES_MOUSE	Bifunctional epoxide hydrolase 2	Representative isoform	21	49	2
PRT825_4_Q9QYG0	Q9QYG0	NDRG2_MOUSE	Protein NDRG2	Representative isoform	18	51	3
PRT825_4_Q8BHN3	Q8BHN3	GANAB_MOUSE	Neutral alpha-glucosidase AB	Representative isoform	18	29	18
PRT825_4_O08601	O08601	MTP_MOUSE	Microsomal triglyceride transfer protein large subunit	Representative isoform	18	32	18
PRT825_4_P97807	P97807	FUMH_MOUSE	Fumarate hydratase, mitochondrial	Representative isoform	17	35	15
PRT825_4_Q60932	Q60932	VDAC1_MOUSE	Voltage-dependent anion-selective channel protein 1	Representative isoform	17	50	3
PRT825_4_Q91X77	Q91X77	CY250_MOUSE	Cytochrome P450 2C50	Representative isoform	16	35	2
PRT825_4_Q9JJL3	Q9JJL3	SO1B2_MOUSE	Solute carrier organic anion transporter family member 1B2	Representative isoform	16	31	0
PRT825_4_Q9DBF1	Q9DBF1	AL7A1_MOUSE	Alpha-aminoadipic semialdehyde dehydrogenase	Representative isoform	16	37	6
PRT825_4_Q8CAQ8	Q8CAQ8	MIC60_MOUSE	MICOS complex subunit Mic60	Representative isoform	16	23	1
PRT825_4_O08573	O08573	LEG9_MOUSE	Galectin-9	Representative isoform	16	45	0
PRT825_4_Q63880	Q63880	EST3A_MOUSE	Carboxylesterase 3A	Representative isoform	15	48	7
PRT825_4_Q9Z0X1	Q9Z0X1	AIFM1_MOUSE	Apoptosis-inducing factor 1, mitochondrial	Representative isoform	14	33	0
PRT825_4_Q9CPY7	Q9CPY7	AMPL_MOUSE	Cytosol aminopeptidase	Representative isoform	14	25	10
PRT825_4_Q91VA0	Q91VA0	ACSM1_MOUSE	Acyl-coenzyme A synthetase ACSM1, mitochondrial	Representative isoform	13	22	2
PRT825_4_P55264	P55264	ADK_MOUSE	Adenosine kinase	Representative isoform	13	27	5
PRT825_4_O88587	O88587	COMT_MOUSE	Catechol O-methyltransferase	Representative isoform	12	18	5
PRT825_4_P04919	P04919	B3AT_MOUSE	Band 3 anion transport protein	Representative isoform	12	27	12
PRT825_4_Q8BFR5	Q8BFR5	EFTU_MOUSE	Elongation factor Tu, mitochondrial	Representative isoform	12	19	5
PRT825_4_Q9DCN2	Q9DCN2	NB5R3_MOUSE	NADH-cytochrome b5 reductase 3	Representative isoform	12	32	1
PRT825_4_O35423	O35423	SPYA_MOUSE	Serine--pyruvate aminotransferase, mitochondrial	Representative isoform	12	40	12
PRT825_4_O55143	O55143	AT2A2_MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	Representative isoform	12	15	7
PRT825_4_Q8VCU1	Q8VCU1	EST3B_MOUSE	Carboxylesterase 3B	Representative isoform	11	32	3
PRT825_4_Q91ZJ5	Q91ZJ5	UGPA_MOUSE	UTP--glucose-1-phosphate uridylyltransferase	Representative isoform	11	19	11
PRT825_4_Q9Z2I8	Q9Z2I8	SUCB2_MOUSE	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial	Representative isoform	10	24	9
PRT825_4_Q99PL5	Q99PL5	RRBP1_MOUSE	Ribosome-binding protein 1	Representative isoform	10	13	0
PRT825_4_Q8QZR3	Q8QZR3	EST2A_MOUSE	Pyrethroid hydrolase Ces2a	Representative isoform	10	15	8
PRT825_4_Q99P30	Q99P30	NUDT7_MOUSE	Peroxisomal coenzyme A diphosphatase NUDT7	Representative isoform	9	20	9
PRT825_4_Q9CZN7	Q9CZN7	GLYM_MOUSE	Serine hydroxymethyltransferase, mitochondrial	Representative isoform	9	18	8
PRT825_4_Q9WUR2	Q9WUR2	ECI2_MOUSE	Enoyl-CoA delta isomerase 2, mitochondrial	Representative isoform	9	19	0
PRT825_4_Q91WN4	Q91WN4	KMO_MOUSE	Kynurenine 3-monooxygenase	Representative isoform	9	16	3
PRT825_4_Q8VCR2	Q8VCR2	DHB13_MOUSE	17-beta-hydroxysteroid dehydrogenase 13	Representative isoform	9	14	3
PRT825_4_P99029	P99029	PRDX5_MOUSE	Peroxiredoxin-5, mitochondrial	Representative isoform	9	22	0
PRT825_4_Q9WTP6	Q9WTP6	KAD2_MOUSE	Adenylate kinase 2, mitochondrial	Representative isoform	9	11	7
PRT825_4_P61922	P61922	GABT_MOUSE	4-aminobutyrate aminotransferase, mitochondrial	Representative isoform	9	12	7
PRT825_4_Q9D6J6	Q9D6J6	NDUV2_MOUSE	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	Representative isoform	8	19	4
PRT825_4_Q61598	Q61598	GDIB_MOUSE	Rab GDP dissociation inhibitor beta	Representative isoform	8	10	2
PRT825_4_P09055	P09055	ITB1_MOUSE	Integrin beta-1	Representative isoform	8	16	7
PRT825_4_Q91XE0	Q91XE0	GLYAT_MOUSE	Glycine N-acyltransferase	Representative isoform	7	18	7
PRT825_4_E9Q5K4	E9Q5K4	CP2CN_MOUSE	Cytochrome P450 2C44	Representative isoform	7	11	0
PRT825_4_Q02357	Q02357	ANK1_MOUSE	Ankyrin-1	Representative isoform	7	8	0
PRT825_4_P50580	P50580	PA2G4_MOUSE	Proliferation-associated protein 2G4	Representative isoform	7	9	7
PRT825_4_Q925I1	Q925I1	ATAD3_MOUSE	ATPase family AAA domain-containing protein 3	Representative isoform	7	8	2
PRT825_4_O70503	O70503	DHB12_MOUSE	Very-long-chain 3-oxoacyl-CoA reductase	Representative isoform	7	13	6
PRT825_4_Q9CQV8	Q9CQV8	1433B_MOUSE	14-3-3 protein beta/alpha	Representative isoform	7	12	0
PRT825_4_Q60605	Q60605	MYL6_MOUSE	Myosin light polypeptide 6	Representative isoform	6	10	0
PRT825_4_P18572	P18572	BASI_MOUSE	Basigin	Representative isoform	6	16	0
PRT825_4_Q9EQ06	Q9EQ06	DHB11_MOUSE	Estradiol 17-beta-dehydrogenase 11	Representative isoform	6	8	4
PRT825_4_P02535	P02535	K1C10_MOUSE	Keratin, type I cytoskeletal 10	Representative isoform	6	7	0
PRT825_4_P16546	P16546	SPTN1_MOUSE	Spectrin alpha chain, non-erythrocytic 1	Representative isoform	6	6	0
PRT825_4_P18581	P18581	CTR2_MOUSE	Cationic amino acid transporter 2	Representative isoform	5	7	0
PRT825_4_P68254	P68254	1433T_MOUSE	14-3-3 protein theta	Representative isoform	5	9	2
