protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT791_3_Q8BTI8	Q8BTI8	SRRM2_MOUSE	Serine/arginine repetitive matrix protein 2	Representative isoform	25	60	24
PRT791_3_P48678	P48678	LMNA_MOUSE	Prelamin-A/C	Representative isoform	14	26	11
PRT791_3_Q8CGN5	Q8CGN5	PLIN1_MOUSE	Perilipin-1	Representative isoform	14	102	5
PRT791_3_Q8K019	Q8K019	BCLF1_MOUSE	Bcl-2-associated transcription factor 1	Representative isoform	11	23	0
PRT791_3_Q52KI8	Q52KI8	SRRM1_MOUSE	Serine/arginine repetitive matrix protein 1	Representative isoform	10	41	0
PRT791_3_P52480	P52480	KPYM_MOUSE	Pyruvate kinase PKM	Representative isoform	10	12	4
PRT791_3_Q6PGL7	Q6PGL7	WASC2_MOUSE	WASH complex subunit 2	Representative isoform	9	19	0
PRT791_3_Q6P5H2	Q6P5H2	NEST_MOUSE	Nestin	Representative isoform	7	11	7
PRT791_3_P27546	P27546	MAP4_MOUSE	Microtubule-associated protein 4	Representative isoform	7	15	4
PRT791_3_Q62261	Q62261	SPTB2_MOUSE	Spectrin beta chain, non-erythrocytic 1	Representative isoform	7	18	5
PRT791_3_P54310	P54310	LIPS_MOUSE	Hormone-sensitive lipase	Representative isoform	6	11	0
PRT791_3_Q9ES28	Q9ES28	ARHG7_MOUSE	Rho guanine nucleotide exchange factor 7	Representative isoform	6	11	0
PRT791_3_Q9JIX8	Q9JIX8	ACINU_MOUSE	Apoptotic chromatin condensation inducer in the nucleus	Representative isoform	6	19	0
PRT791_3_Q9QXS1	Q9QXS1	PLEC_MOUSE	Plectin	Representative isoform	6	17	0
PRT791_3_Q9QYR6	Q9QYR6	MAP1A_MOUSE	Microtubule-associated protein 1A	Representative isoform	5	7	0
PRT791_3_P51125	P51125	ICAL_MOUSE	Calpastatin	Representative isoform	5	6	0
PRT791_3_Q9ERG0	Q9ERG0	LIMA1_MOUSE	LIM domain and actin-binding protein 1	Representative isoform	5	7	5
PRT791_3_Q8CH77	Q8CH77	NAV1_MOUSE	Neuron navigator 1	Representative isoform	5	6	0
PRT791_3_Q8C0T5	Q8C0T5	SI1L1_MOUSE	Signal-induced proliferation-associated 1-like protein 1	Representative isoform	5	9	0
PRT791_3_Q8K4L3	Q8K4L3	SVIL_MOUSE	Supervillin	Representative isoform	5	10	0
PRT791_3_Q3UMF0	Q3UMF0	COBL1_MOUSE	Cordon-bleu protein-like 1	Representative isoform	5	5	0
PRT791_3_O89032	O89032	SPD2A_MOUSE	SH3 and PX domain-containing protein 2A	Representative isoform	5	6	0
PRT791_3_P57776	P57776	EF1D_MOUSE	Elongation factor 1-delta	Representative isoform	5	15	0
PRT791_3_Q9Z0R4	Q9Z0R4	ITSN1_MOUSE	Intersectin-1	Representative isoform	5	16	0
PRT791_3_Q9CY58	Q9CY58	PAIRB_MOUSE	Plasminogen activator inhibitor 1 RNA-binding protein	Representative isoform	5	15	2
PRT791_3_Q9CZ44	Q9CZ44	NSF1C_MOUSE	NSFL1 cofactor p47	Representative isoform	5	6	3
PRT791_3_P47757	P47757	CAPZB_MOUSE	F-actin-capping protein subunit beta	Representative isoform	5	5	0
PRT791_3_Q9WTQ5	Q9WTQ5	AKA12_MOUSE	A-kinase anchor protein 12	Representative isoform	5	6	5
PRT791_3_Q9D3S3	Q9D3S3	SNX29_MOUSE	Sorting nexin-29	Representative isoform	5	6	0
PRT791_3_Q9QYC0	Q9QYC0	ADDA_MOUSE	Alpha-adducin	Representative isoform	4	10	0
PRT791_3_Q62318	Q62318	TIF1B_MOUSE	Transcription intermediary factor 1-beta	Representative isoform	4	5	4
PRT791_3_Q8R1A4	Q8R1A4	DOCK7_MOUSE	Dedicator of cytokinesis protein 7	Representative isoform	4	7	0
PRT791_3_Q8BGU5	Q8BGU5	CCNY_MOUSE	Cyclin-Y	Representative isoform	4	7	4
PRT791_3_Q99P72	Q99P72	RTN4_MOUSE	Reticulon-4	Representative isoform	4	9	4
PRT791_3_Q9R0L6	Q9R0L6	PCM1_MOUSE	Pericentriolar material 1 protein	Representative isoform	4	5	2
PRT791_3_Q7TQH0	Q7TQH0	ATX2L_MOUSE	Ataxin-2-like protein	Representative isoform	4	6	0
PRT791_3_A2AN08	A2AN08	UBR4_MOUSE	E3 ubiquitin-protein ligase UBR4	Representative isoform	4	6	1
PRT791_3_O54988	O54988	SLK_MOUSE	STE20-like serine/threonine-protein kinase	Representative isoform	4	5	4
PRT791_3_Q64337	Q64337	SQSTM_MOUSE	Sequestosome-1	Representative isoform	4	7	2
PRT791_3_Q8K1N2	Q8K1N2	PHLB2_MOUSE	Pleckstrin homology-like domain family B member 2	Representative isoform	4	5	0
PRT791_3_Q8K4G5	Q8K4G5	ABLM1_MOUSE	Actin-binding LIM protein 1	Representative isoform	4	6	0
PRT791_3_Q5HZI1	Q5HZI1	MTUS1_MOUSE	Microtubule-associated tumor suppressor 1 homolog	Representative isoform	4	6	0
PRT791_3_O08539	O08539	BIN1_MOUSE	Myc box-dependent-interacting protein 1	Representative isoform	4	32	0
PRT791_3_P42567	P42567	EPS15_MOUSE	Epidermal growth factor receptor substrate 15	Representative isoform	4	6	0
PRT791_3_Q5I012	Q5I012	S38AA_MOUSE	Putative sodium-coupled neutral amino acid transporter 10	Representative isoform	4	10	0
PRT791_3_Q80XI3	Q80XI3	IF4G3_MOUSE	Eukaryotic translation initiation factor 4 gamma 3	Representative isoform	4	6	0
PRT791_3_Q8BLK9	Q8BLK9	KS6C1_MOUSE	Ribosomal protein S6 kinase delta-1	Representative isoform	4	5	0
PRT791_3_Q0P678	Q0P678	ZCH18_MOUSE	Zinc finger CCCH domain-containing protein 18	Representative isoform	4	5	0
PRT791_3_Q8CGB6	Q8CGB6	TNS2_MOUSE	Tensin-2	Representative isoform	4	4	0
PRT791_3_P98078	P98078	DAB2_MOUSE	Disabled homolog 2	Representative isoform	4	8	0
PRT791_3_Q924A2	Q924A2	CIC_MOUSE	Protein capicua homolog	Representative isoform	3	4	0
PRT791_3_B2RQC6	B2RQC6	PYR1_MOUSE	CAD protein	Representative isoform	3	3	0
PRT791_3_Q6VNB8	Q6VNB8	WDFY3_MOUSE	WD repeat and FYVE domain-containing protein 3	Representative isoform	3	4	0
PRT791_3_Q8C0E3	Q8C0E3	TRI47_MOUSE	E3 ubiquitin-protein ligase TRIM47	Representative isoform	3	3	3
PRT791_3_P97434	P97434	MPRIP_MOUSE	Myosin phosphatase Rho-interacting protein	Representative isoform	3	4	0
PRT791_3_E9Q6J5	E9Q6J5	BD1L1_MOUSE	Biorientation of chromosomes in cell division protein 1-like 1	Representative isoform	3	4	3
PRT791_3_Q99MS7	Q99MS7	EH1L1_MOUSE	EH domain-binding protein 1-like protein 1	Representative isoform	3	5	0
PRT791_3_P70399	P70399	TP53B_MOUSE	TP53-binding protein 1	Representative isoform	3	4	0
PRT791_3_Q7TPH6	Q7TPH6	MYCB2_MOUSE	E3 ubiquitin-protein ligase MYCBP2	Representative isoform	3	5	0
PRT791_3_Q9QWY8	Q9QWY8	ASAP1_MOUSE	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	Representative isoform	3	6	0
PRT791_3_E9Q394	E9Q394	AKP13_MOUSE	A-kinase anchor protein 13	Representative isoform	3	5	0
PRT791_3_Q9QYB5	Q9QYB5	ADDG_MOUSE	Gamma-adducin	Representative isoform	3	7	0
PRT791_3_O35601	O35601	FYB1_MOUSE	FYN-binding protein 1	Representative isoform	3	6	3
