protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT824_2_P07900	P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha	Representative isoform	13	95	5
PRT824_2_P11142	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	Representative isoform	9	37	6
PRT824_2_P06733	P06733	ENOA_HUMAN	Alpha-enolase	Representative isoform	9	38	8
PRT824_2_P31749	P31749	AKT1_HUMAN	RAC-alpha serine/threonine-protein kinase	Representative isoform	8	77	5
PRT824_2_P14618	P14618	KPYM_HUMAN	Pyruvate kinase PKM	Representative isoform	7	34	6
PRT824_2_P00338	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain	Representative isoform	7	33	4
PRT824_2_P10809	P10809	CH60_HUMAN	60 kDa heat shock protein, mitochondrial	Representative isoform	7	20	7
PRT824_2_O60343	O60343	TBCD4_HUMAN	TBC1 domain family member 4	Representative isoform	6	37	6
PRT824_2_Q9UQ35	Q9UQ35	SRRM2_HUMAN	Serine/arginine repetitive matrix protein 2	Representative isoform	6	32	6
PRT824_2_P06748	P06748	NPM_HUMAN	Nucleophosmin	Representative isoform	5	29	4
PRT824_2_P62258	P62258	1433E_HUMAN	14-3-3 protein epsilon	Representative isoform	5	59	4
PRT824_2_P04075	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A	Representative isoform	5	36	5
PRT824_2_P23588	P23588	IF4B_HUMAN	Eukaryotic translation initiation factor 4B	Representative isoform	5	40	5
PRT824_2_P68363	P68363	TBA1B_HUMAN	Tubulin alpha-1B chain	Representative isoform	5	27	0
PRT824_2_Q5SW79	Q5SW79	CE170_HUMAN	Centrosomal protein of 170 kDa	Representative isoform	5	21	5
PRT824_2_P62937	P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A	Representative isoform	5	27	4
PRT824_2_Q8ND56	Q8ND56	LS14A_HUMAN	Protein LSM14 homolog A	Representative isoform	4	9	4
PRT824_2_P31751	P31751	AKT2_HUMAN	RAC-beta serine/threonine-protein kinase	Representative isoform	4	35	1
PRT824_2_P48634	P48634	PRC2A_HUMAN	Protein PRRC2A	Representative isoform	4	18	4
PRT824_2_P14314	P14314	GLU2B_HUMAN	Glucosidase 2 subunit beta	Representative isoform	4	22	4
PRT824_2_Q92597	Q92597	NDRG1_HUMAN	Protein NDRG1	Representative isoform	4	25	4
PRT824_2_O75122	O75122	CLAP2_HUMAN	CLIP-associating protein 2	Representative isoform	4	7	4
PRT824_2_P0DMV8	P0DMV8	HS71A_HUMAN	Heat shock 70 kDa protein 1A	Representative isoform	4	21	0
PRT824_2_P60174	P60174	TPIS_HUMAN	Triosephosphate isomerase	Representative isoform	4	26	4
PRT824_2_Q9UGV2	Q9UGV2	NDRG3_HUMAN	Protein NDRG3	Representative isoform	4	25	4
PRT824_2_Q5JSZ5	Q5JSZ5	PRC2B_HUMAN	Protein PRRC2B	Representative isoform	4	14	4
PRT824_2_Q13263	Q13263	TIF1B_HUMAN	Transcription intermediary factor 1-beta	Representative isoform	3	10	3
PRT824_2_P27816	P27816	MAP4_HUMAN	Microtubule-associated protein 4	Representative isoform	3	31	3
PRT824_2_P27824	P27824	CALX_HUMAN	Calnexin	Representative isoform	3	24	3
PRT824_2_Q9BZ23	Q9BZ23	PANK2_HUMAN	Pantothenate kinase 2, mitochondrial	Representative isoform	3	10	3
PRT824_2_P00558	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1	Representative isoform	3	23	2
PRT824_2_P68104	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1	Representative isoform	3	12	0
PRT824_2_P49841	P49841	GSK3B_HUMAN	Glycogen synthase kinase-3 beta	Representative isoform	3	25	1
PRT824_2_Q7Z5L9	Q7Z5L9	I2BP2_HUMAN	Interferon regulatory factor 2-binding protein 2	Representative isoform	3	18	2
PRT824_2_O14974	O14974	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	Representative isoform	3	19	3
PRT824_2_O60271	O60271	JIP4_HUMAN	C-Jun-amino-terminal kinase-interacting protein 4	Representative isoform	3	12	3
PRT824_2_P31946	P31946	1433B_HUMAN	14-3-3 protein beta/alpha	Representative isoform	3	53	2
PRT824_2_P34932	P34932	HSP74_HUMAN	Heat shock 70 kDa protein 4	Representative isoform	3	18	3
PRT824_2_P46779	P46779	RL28_HUMAN	60S ribosomal protein L28	Representative isoform	3	14	3
PRT824_2_P49419	P49419	AL7A1_HUMAN	Alpha-aminoadipic semialdehyde dehydrogenase	Representative isoform	3	9	3
PRT824_2_P63104	P63104	1433Z_HUMAN	14-3-3 protein zeta/delta	Representative isoform	3	41	2
PRT824_2_P25054	P25054	APC_HUMAN	Adenomatous polyposis coli protein	Representative isoform	3	15	3
PRT824_2_P37802	P37802	TAGL2_HUMAN	Transgelin-2	Representative isoform	3	13	2
PRT824_2_P29401	P29401	TKT_HUMAN	Transketolase	Representative isoform	3	35	3
PRT824_2_P23381	P23381	SYWC_HUMAN	Tryptophan--tRNA ligase, cytoplasmic	Representative isoform	3	17	3
PRT824_2_P43487	P43487	RANG_HUMAN	Ran-specific GTPase-activating protein	Representative isoform	3	23	3
