protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT793_1_Q8BTI8	Q8BTI8	SRRM2_MOUSE	Serine/arginine repetitive matrix protein 2	Representative isoform	31	81	30
PRT793_1_Q8K019	Q8K019	BCLF1_MOUSE	Bcl-2-associated transcription factor 1	Representative isoform	11	22	0
PRT793_1_Q52KI8	Q52KI8	SRRM1_MOUSE	Serine/arginine repetitive matrix protein 1	Representative isoform	9	34	0
PRT793_1_P48678	P48678	LMNA_MOUSE	Prelamin-A/C	Representative isoform	8	10	6
PRT793_1_Q6PGL7	Q6PGL7	WASC2_MOUSE	WASH complex subunit 2	Representative isoform	7	10	0
PRT793_1_Q8CGN5	Q8CGN5	PLIN1_MOUSE	Perilipin-1	Representative isoform	7	22	2
PRT793_1_Q3UMF0	Q3UMF0	COBL1_MOUSE	Cordon-bleu protein-like 1	Representative isoform	7	10	0
PRT793_1_Q5HZI1	Q5HZI1	MTUS1_MOUSE	Microtubule-associated tumor suppressor 1 homolog	Representative isoform	6	17	0
PRT793_1_Q9WTQ5	Q9WTQ5	AKA12_MOUSE	A-kinase anchor protein 12	Representative isoform	6	9	6
PRT793_1_Q8C0T5	Q8C0T5	SI1L1_MOUSE	Signal-induced proliferation-associated 1-like protein 1	Representative isoform	6	13	0
PRT793_1_Q62261	Q62261	SPTB2_MOUSE	Spectrin beta chain, non-erythrocytic 1	Representative isoform	6	20	5
PRT793_1_P27546	P27546	MAP4_MOUSE	Microtubule-associated protein 4	Representative isoform	6	9	3
PRT793_1_P63038	P63038	CH60_MOUSE	60 kDa heat shock protein, mitochondrial	Representative isoform	6	10	3
PRT793_1_Q9JIX8	Q9JIX8	ACINU_MOUSE	Apoptotic chromatin condensation inducer in the nucleus	Representative isoform	6	16	0
PRT793_1_Q6AW69	Q6AW69	CGNL1_MOUSE	Cingulin-like protein 1	Representative isoform	5	6	0
PRT793_1_Q9QYG0	Q9QYG0	NDRG2_MOUSE	Protein NDRG2	Representative isoform	5	25	5
PRT793_1_Q6PDH0	Q6PDH0	PHLB1_MOUSE	Pleckstrin homology-like domain family B member 1	Representative isoform	5	6	0
PRT793_1_O88343	O88343	S4A4_MOUSE	Electrogenic sodium bicarbonate cotransporter 1	Representative isoform	5	13	0
PRT793_1_P57776	P57776	EF1D_MOUSE	Elongation factor 1-delta	Representative isoform	5	13	0
PRT793_1_P70399	P70399	TP53B_MOUSE	TP53-binding protein 1	Representative isoform	4	4	0
PRT793_1_Q9Z0R4	Q9Z0R4	ITSN1_MOUSE	Intersectin-1	Representative isoform	4	9	0
PRT793_1_Q9CZ44	Q9CZ44	NSF1C_MOUSE	NSFL1 cofactor p47	Representative isoform	4	6	1
PRT793_1_Q9R020	Q9R020	ZRAB2_MOUSE	Zinc finger Ran-binding domain-containing protein 2	Representative isoform	4	6	0
PRT793_1_O89032	O89032	SPD2A_MOUSE	SH3 and PX domain-containing protein 2A	Representative isoform	4	6	0
PRT793_1_O54931	O54931	AKAP2_MOUSE	A-kinase anchor protein 2	Representative isoform	4	6	0
PRT793_1_Q91ZV0	Q91ZV0	MIA2_MOUSE	Melanoma inhibitory activity protein 2	Representative isoform	4	7	0
PRT793_1_Q9DBR7	Q9DBR7	MYPT1_MOUSE	Protein phosphatase 1 regulatory subunit 12A	Representative isoform	4	5	1
PRT793_1_Q8K4G5	Q8K4G5	ABLM1_MOUSE	Actin-binding LIM protein 1	Representative isoform	4	4	0
PRT793_1_Q8BGU5	Q8BGU5	CCNY_MOUSE	Cyclin-Y	Representative isoform	4	8	4
PRT793_1_Q60932	Q60932	VDAC1_MOUSE	Voltage-dependent anion-selective channel protein 1	Representative isoform	4	4	0
PRT793_1_Q9D0L8	Q9D0L8	MCES_MOUSE	mRNA cap guanine-N7 methyltransferase	Representative isoform	4	7	0
PRT793_1_Q99L88	Q99L88	SNTB1_MOUSE	Beta-1-syntrophin	Representative isoform	4	9	4
PRT793_1_Q922B9	Q922B9	ITPI2_MOUSE	Protein ITPRID2	Representative isoform	4	7	0
PRT793_1_P54310	P54310	LIPS_MOUSE	Hormone-sensitive lipase	Representative isoform	4	8	0
PRT793_1_A3KGS3	A3KGS3	RGPA2_MOUSE	Ral GTPase-activating protein subunit alpha-2	Representative isoform	4	5	0
PRT793_1_Q8K4L3	Q8K4L3	SVIL_MOUSE	Supervillin	Representative isoform	4	7	0
PRT793_1_Q80XI3	Q80XI3	IF4G3_MOUSE	Eukaryotic translation initiation factor 4 gamma 3	Representative isoform	4	7	0
PRT793_1_O70305	O70305	ATX2_MOUSE	Ataxin-2	Representative isoform	4	10	0
PRT793_1_Q08122	Q08122	TLE3_MOUSE	Transducin-like enhancer protein 3	Representative isoform	3	3	0
PRT793_1_Q8VEK3	Q8VEK3	HNRPU_MOUSE	Heterogeneous nuclear ribonucleoprotein U	Representative isoform	3	20	3
PRT793_1_Q64012	Q64012	RALY_MOUSE	RNA-binding protein Raly	Representative isoform	3	11	1
PRT793_1_Q5F2E7	Q5F2E7	NUFP2_MOUSE	Nuclear fragile X mental retardation-interacting protein 2	Representative isoform	3	4	3
PRT793_1_Q6NZJ6	Q6NZJ6	IF4G1_MOUSE	Eukaryotic translation initiation factor 4 gamma 1	Representative isoform	3	11	0
PRT793_1_Q8K1N2	Q8K1N2	PHLB2_MOUSE	Pleckstrin homology-like domain family B member 2	Representative isoform	3	3	0
PRT793_1_Q0VBL3	Q0VBL3	RBM15_MOUSE	RNA-binding protein 15	Representative isoform	3	6	3
PRT793_1_Q924A2	Q924A2	CIC_MOUSE	Protein capicua homolog	Representative isoform	3	4	1
PRT793_1_Q9QYC0	Q9QYC0	ADDA_MOUSE	Alpha-adducin	Representative isoform	3	6	0
PRT793_1_Q9CW46	Q9CW46	RAVR1_MOUSE	Ribonucleoprotein PTB-binding 1	Representative isoform	3	5	1
PRT793_1_Q9R0L6	Q9R0L6	PCM1_MOUSE	Pericentriolar material 1 protein	Representative isoform	3	5	2
PRT793_1_Q9ES28	Q9ES28	ARHG7_MOUSE	Rho guanine nucleotide exchange factor 7	Representative isoform	3	3	0
PRT793_1_Q99P72	Q99P72	RTN4_MOUSE	Reticulon-4	Representative isoform	3	4	3
PRT793_1_Q9QXS1	Q9QXS1	PLEC_MOUSE	Plectin	Representative isoform	3	6	0
PRT793_1_Q62318	Q62318	TIF1B_MOUSE	Transcription intermediary factor 1-beta	Representative isoform	3	4	3
PRT793_1_Q9CQV4	Q9CQV4	RETR3_MOUSE	Reticulophagy regulator 3	Representative isoform	3	7	3
PRT793_1_Q5SWU9	Q5SWU9	ACACA_MOUSE	Acetyl-CoA carboxylase 1	Representative isoform	3	19	1
PRT793_1_A2AN08	A2AN08	UBR4_MOUSE	E3 ubiquitin-protein ligase UBR4	Representative isoform	3	4	1
PRT793_1_Q99MS7	Q99MS7	EH1L1_MOUSE	EH domain-binding protein 1-like protein 1	Representative isoform	3	6	0
PRT793_1_Q8BYJ6	Q8BYJ6	TBCD4_MOUSE	TBC1 domain family member 4	Representative isoform	3	6	0
PRT793_1_Q61584	Q61584	FXR1_MOUSE	Fragile X mental retardation syndrome-related protein 1	Representative isoform	3	4	0
PRT793_1_Q9D824	Q9D824	FIP1_MOUSE	Pre-mRNA 3'-end-processing factor FIP1	Representative isoform	3	6	3
PRT793_1_Q8CH25	Q8CH25	SLTM_MOUSE	SAFB-like transcription modulator	Representative isoform	3	4	1
PRT793_1_Q8CFI0	Q8CFI0	NED4L_MOUSE	E3 ubiquitin-protein ligase NEDD4-like	Representative isoform	3	5	0
PRT793_1_Q6P9Q6	Q6P9Q6	FKB15_MOUSE	FK506-binding protein 15	Representative isoform	3	7	2
PRT793_1_Q8VDZ4	Q8VDZ4	ZDHC5_MOUSE	Palmitoyltransferase ZDHHC5	Representative isoform	3	4	3
PRT793_1_Q9QYR6	Q9QYR6	MAP1A_MOUSE	Microtubule-associated protein 1A	Representative isoform	3	3	0
PRT793_1_Q99NH0	Q99NH0	ANR17_MOUSE	Ankyrin repeat domain-containing protein 17	Representative isoform	3	4	0
PRT793_1_E9Q394	E9Q394	AKP13_MOUSE	A-kinase anchor protein 13	Representative isoform	3	3	0
PRT793_1_Q8BK03	Q8BK03	MIGA2_MOUSE	Mitoguardin 2	Representative isoform	3	7	2
PRT793_1_Q8R1A4	Q8R1A4	DOCK7_MOUSE	Dedicator of cytokinesis protein 7	Representative isoform	3	6	0
PRT793_1_Q8VCI5	Q8VCI5	PEX19_MOUSE	Peroxisomal biogenesis factor 19	Representative isoform	3	3	3
