protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT820_1_P02768	P02768	ALBU_HUMAN	Serum albumin	Representative isoform	60	707	60
PRT820_1_P02788	P02788	TRFL_HUMAN	Lactotransferrin	Representative isoform	47	314	46
PRT820_1_P15924	P15924	DESP_HUMAN	Desmoplakin	Representative isoform	31	88	31
PRT820_1_P07911	P07911	UROM_HUMAN	Uromodulin	Representative isoform	31	1105	31
PRT820_1_P01133	P01133	EGF_HUMAN	Pro-epidermal growth factor	Representative isoform	25	158	25
PRT820_1_P04746	P04746	AMYP_HUMAN	Pancreatic alpha-amylase	Representative isoform	24	193	4
PRT820_1_P19961	P19961	AMY2B_HUMAN	Alpha-amylase 2B	Representative isoform	23	173	2
PRT820_1_P01042	P01042	KNG1_HUMAN	Kininogen-1	Representative isoform	22	151	22
PRT820_1_P10451	P10451	OSTP_HUMAN	Osteopontin	Representative isoform	14	94	14
PRT820_1_Q9BRK3	Q9BRK3	MXRA8_HUMAN	Matrix remodeling-associated protein 8	Representative isoform	14	50	14
PRT820_1_P10909	P10909	CLUS_HUMAN	Clusterin	Representative isoform	14	76	14
PRT820_1_P02751	P02751	FINC_HUMAN	Fibronectin	Representative isoform	14	46	14
PRT820_1_P22105	P22105	TENX_HUMAN	Tenascin-X	Representative isoform	13	36	11
PRT820_1_P15309	P15309	PPAP_HUMAN	Prostatic acid phosphatase	Representative isoform	13	50	13
PRT820_1_P04279	P04279	SEMG1_HUMAN	Semenogelin-1	Representative isoform	12	51	11
PRT820_1_O75882	O75882	ATRN_HUMAN	Attractin	Representative isoform	12	49	12
PRT820_1_P05164	P05164	PERM_HUMAN	Myeloperoxidase	Representative isoform	12	30	11
PRT820_1_P04217	P04217	A1BG_HUMAN	Alpha-1B-glycoprotein	Representative isoform	12	54	12
PRT820_1_P22891	P22891	PROZ_HUMAN	Vitamin K-dependent protein Z	Representative isoform	11	64	11
PRT820_1_P01011	P01011	AACT_HUMAN	Alpha-1-antichymotrypsin	Representative isoform	11	47	11
