protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT790_3_P63284	P63284	CLPB_ECOLI	Chaperone protein ClpB	Representative isoform	42	300	41
PRT790_3_P0A705	P0A705	IF2_ECOLI	Translation initiation factor IF-2	Representative isoform	34	97	34
PRT790_3_P00452	P00452	RIR1_ECOLI	Ribonucleoside-diphosphate reductase 1 subunit alpha	Representative isoform	24	68	24
PRT790_3_P02919	P02919	PBPB_ECOLI	Penicillin-binding protein 1B	Representative isoform	7	15	7
PRT790_3_P75960	P75960	NPD_ECOLI	NAD-dependent protein deacylase	Representative isoform	7	16	7
PRT790_3_P0A988	P0A988	DPO3B_ECOLI	Beta sliding clamp	Representative isoform	6	14	6
PRT790_3_P06710	P06710	DPO3X_ECOLI	DNA polymerase III subunit tau	Representative isoform	5	8	5
PRT790_3_P15005	P15005	MCRB_ECOLI	5-methylcytosine-specific restriction enzyme B	Representative isoform	2	5	2
PRT790_3_P0A8T7	P0A8T7	RPOC_ECOLI	DNA-directed RNA polymerase subunit beta'	leading protein	60	257	60
PRT790_3_P0A8V2	P0A8V2	RPOB_ECOLI	DNA-directed RNA polymerase subunit beta	leading protein	60	279	60
PRT790_3_P15254	P15254	PUR4_ECOLI	Phosphoribosylformylglycinamidine synthase	leading protein	46	109	46
PRT790_3_P09152	P09152	NARG_ECOLI	Respiratory nitrate reductase 1 alpha chain	leading protein	46	147	42
PRT790_3_P0AFG8	P0AFG8	ODP1_ECOLI	Pyruvate dehydrogenase E1 component	leading protein	44	269	44
PRT790_3_P09546	P09546	PUTA_ECOLI	Bifunctional protein PutA	leading protein	43	176	43
PRT790_3_P36683	P36683	ACNB_ECOLI	Aconitate hydratase B	leading protein	42	318	42
PRT790_3_P63284	P63284	CLPB_ECOLI	Chaperone protein ClpB	leading protein	42	300	41
PRT790_3_P00968	P00968	CARB_ECOLI	Carbamoyl-phosphate synthase large chain	leading protein	41	132	41
PRT790_3_P33195	P33195	GCSP_ECOLI	Glycine dehydrogenase (decarboxylating)	leading protein	40	164	40
PRT790_3_P00957	P00957	SYA_ECOLI	Alanine--tRNA ligase	leading protein	39	142	39
PRT790_3_P0AFG3	P0AFG3	ODO1_ECOLI	2-oxoglutarate dehydrogenase E1 component	leading protein	39	142	39
PRT790_3_P07118	P07118	SYV_ECOLI	Valine--tRNA ligase	leading protein	38	97	38
PRT790_3_P0A6Y8	P0A6Y8	DNAK_ECOLI	Chaperone protein DnaK	leading protein	38	599	38
PRT790_3_P0A9Q7	P0A9Q7	ADHE_ECOLI	Aldehyde-alcohol dehydrogenase	leading protein	37	182	37
PRT790_3_P25516	P25516	ACNA_ECOLI	Aconitate hydratase A	leading protein	37	216	37
PRT790_3_P0A9M0	P0A9M0	LON_ECOLI	Lon protease	leading protein	36	113	36
PRT790_3_P09373	P09373	PFLB_ECOLI	Formate acetyltransferase 1	leading protein	35	323	31
PRT790_3_P0A6M8	P0A6M8	EFG_ECOLI	Elongation factor G	leading protein	35	413	35
PRT790_3_P13029	P13029	KATG_ECOLI	Catalase-peroxidase	leading protein	34	233	34
PRT790_3_P0A705	P0A705	IF2_ECOLI	Translation initiation factor IF-2	leading protein	34	97	34
PRT790_3_P0A9W3	P0A9W3	ETTA_ECOLI	Energy-dependent translational throttle protein EttA	leading protein	34	111	34
PRT790_3_P07395	P07395	SYFB_ECOLI	Phenylalanine--tRNA ligase beta subunit	leading protein	34	122	34
PRT790_3_P00956	P00956	SYI_ECOLI	Isoleucine--tRNA ligase	leading protein	34	107	34
PRT790_3_P33602	P33602	NUOG_ECOLI	NADH-quinone oxidoreductase subunit G	leading protein	34	102	34
PRT790_3_P76558	P76558	MAO2_ECOLI	NADP-dependent malic enzyme	leading protein	33	174	33
PRT790_3_P04825	P04825	AMPN_ECOLI	Aminopeptidase N	leading protein	33	115	33
PRT790_3_P00961	P00961	SYGB_ECOLI	Glycine--tRNA ligase beta subunit	leading protein	33	151	33
PRT790_3_P0A6F5	P0A6F5	CH60_ECOLI	60 kDa chaperonin	leading protein	33	860	33
PRT790_3_P0A8N5	P0A8N5	SYK2_ECOLI	Lysine--tRNA ligase, heat inducible	leading protein	33	143	20
PRT790_3_P21889	P21889	SYD_ECOLI	Aspartate--tRNA ligase	leading protein	32	117	32
PRT790_3_P69908	P69908	DCEA_ECOLI	Glutamate decarboxylase alpha	leading protein	31	1940	1
PRT790_3_P69910	P69910	DCEB_ECOLI	Glutamate decarboxylase beta	leading protein	31	1937	1
PRT790_3_P0AES4	P0AES4	GYRA_ECOLI	DNA gyrase subunit A	leading protein	31	75	31
PRT790_3_P08997	P08997	MASY_ECOLI	Malate synthase A	leading protein	30	298	30
PRT790_3_P0A6Z3	P0A6Z3	HTPG_ECOLI	Chaperone protein HtpG	leading protein	30	152	30
PRT790_3_P00864	P00864	CAPP_ECOLI	Phosphoenolpyruvate carboxylase	leading protein	30	79	30
PRT790_3_P27298	P27298	OPDA_ECOLI	Oligopeptidase A	leading protein	30	91	30
PRT790_3_P00490	P00490	PHSM_ECOLI	Maltodextrin phosphorylase	leading protein	30	109	30
PRT790_3_P04079	P04079	GUAA_ECOLI	GMP synthase [glutamine-hydrolyzing]	leading protein	30	117	30
PRT790_3_P06612	P06612	TOP1_ECOLI	DNA topoisomerase 1	leading protein	30	65	30
PRT790_3_P0A8N3	P0A8N3	SYK1_ECOLI	Lysine--tRNA ligase	leading protein	30	101	17
PRT790_3_P33599	P33599	NUOCD_ECOLI	NADH-quinone oxidoreductase subunit C/D	leading protein	29	105	29
PRT790_3_P0ACY3	P0ACY3	YEAG_ECOLI	Uncharacterized protein YeaG	leading protein	29	121	29
PRT790_3_P10408	P10408	SECA_ECOLI	Protein translocase subunit SecA	leading protein	29	80	29
PRT790_3_P21513	P21513	RNE_ECOLI	Ribonuclease E	leading protein	29	86	29
PRT790_3_P07813	P07813	SYL_ECOLI	Leucine--tRNA ligase	leading protein	28	97	28
PRT790_3_P0AFF6	P0AFF6	NUSA_ECOLI	Transcription termination/antitermination protein NusA	leading protein	28	86	28
PRT790_3_P0AES6	P0AES6	GYRB_ECOLI	DNA gyrase subunit B	leading protein	28	75	28
PRT790_3_P0ACD8	P0ACD8	MBHL_ECOLI	Hydrogenase-1 large chain	leading protein	28	102	28
PRT790_3_P0ABH9	P0ABH9	CLPA_ECOLI	ATP-dependent Clp protease ATP-binding subunit ClpA	leading protein	28	55	28
PRT790_3_P0AG67	P0AG67	RS1_ECOLI	30S ribosomal protein S1	leading protein	27	398	27
PRT790_3_P00582	P00582	DPO1_ECOLI	DNA polymerase I	leading protein	27	88	27
PRT790_3_P0A853	P0A853	TNAA_ECOLI	Tryptophanase	leading protein	27	1334	27
PRT790_3_P25553	P25553	ALDA_ECOLI	Lactaldehyde dehydrogenase	leading protein	27	154	27
PRT790_3_P23538	P23538	PPSA_ECOLI	Phosphoenolpyruvate synthase	leading protein	27	118	27
PRT790_3_P00350	P00350	6PGD_ECOLI	6-phosphogluconate dehydrogenase, decarboxylating	leading protein	26	116	26
PRT790_3_P21499	P21499	RNR_ECOLI	Ribonuclease R	leading protein	26	64	26
PRT790_3_P0A9C5	P0A9C5	GLN1B_ECOLI	Glutamine synthetase	leading protein	26	157	26
PRT790_3_P32176	P32176	FDOG_ECOLI	Formate dehydrogenase-O major subunit	leading protein	26	39	24
PRT790_3_P23843	P23843	OPPA_ECOLI	Periplasmic oligopeptide-binding protein	leading protein	26	208	26
PRT790_3_P33570	P33570	TKT2_ECOLI	Transketolase 2	leading protein	26	134	24
PRT790_3_P08839	P08839	PT1_ECOLI	Phosphoenolpyruvate-protein phosphotransferase	leading protein	26	110	25
PRT790_3_P15639	P15639	PUR9_ECOLI	Bifunctional purine biosynthesis protein PurH	leading protein	25	97	25
PRT790_3_P0A940	P0A940	BAMA_ECOLI	Outer membrane protein assembly factor BamA	leading protein	25	55	25
PRT790_3_P36938	P36938	PGM_ECOLI	Phosphoglucomutase	leading protein	25	70	25
PRT790_3_P0A8M3	P0A8M3	SYT_ECOLI	Threonine--tRNA ligase	leading protein	25	84	25
PRT790_3_P0AC41	P0AC41	SDHA_ECOLI	Succinate dehydrogenase flavoprotein subunit	leading protein	25	144	25
PRT790_3_P00959	P00959	SYM_ECOLI	Methionine--tRNA ligase	leading protein	25	67	25
PRT790_3_P16659	P16659	SYP_ECOLI	Proline--tRNA ligase	leading protein	25	90	25
PRT790_3_P77804	P77804	YDGA_ECOLI	Protein YdgA	leading protein	25	94	25
PRT790_3_P37330	P37330	MASZ_ECOLI	Malate synthase G	leading protein	25	93	25
PRT790_3_P0A698	P0A698	UVRA_ECOLI	UvrABC system protein A	leading protein	25	52	25
PRT790_3_P0ABB0	P0ABB0	ATPA_ECOLI	ATP synthase subunit alpha	leading protein	25	142	25
PRT790_3_P0A850	P0A850	TIG_ECOLI	Trigger factor	leading protein	25	248	25
PRT790_3_P0A6F3	P0A6F3	GLPK_ECOLI	Glycerol kinase	leading protein	24	78	24
PRT790_3_P0ABB4	P0ABB4	ATPB_ECOLI	ATP synthase subunit beta	leading protein	24	280	24
PRT790_3_P05055	P05055	PNP_ECOLI	Polyribonucleotide nucleotidyltransferase	leading protein	24	82	24
PRT790_3_P11875	P11875	SYR_ECOLI	Arginine--tRNA ligase	leading protein	24	61	24
PRT790_3_P0A9M8	P0A9M8	PTA_ECOLI	Phosphate acetyltransferase	leading protein	24	81	24
PRT790_3_P0AD61	P0AD61	KPYK1_ECOLI	Pyruvate kinase I	leading protein	24	145	24
PRT790_3_P22259	P22259	PCKA_ECOLI	Phosphoenolpyruvate carboxykinase (ATP)	leading protein	24	194	24
PRT790_3_P21599	P21599	KPYK2_ECOLI	Pyruvate kinase II	leading protein	24	88	24
PRT790_3_P00452	P00452	RIR1_ECOLI	Ribonucleoside-diphosphate reductase 1 subunit alpha	leading protein	24	68	24
PRT790_3_P21179	P21179	CATE_ECOLI	Catalase HPII	leading protein	24	46	24
PRT790_3_P18775	P18775	DMSA_ECOLI	Dimethyl sulfoxide reductase DmsA	leading protein	24	45	23
PRT790_3_P0A9G6	P0A9G6	ACEA_ECOLI	Isocitrate lyase	leading protein	23	713	23
PRT790_3_P0A6P1	P0A6P1	EFTS_ECOLI	Elongation factor Ts	leading protein	23	243	23
PRT790_3_P00363	P00363	FRDA_ECOLI	Fumarate reductase flavoprotein subunit	leading protein	23	73	23
PRT790_3_P0AAI3	P0AAI3	FTSH_ECOLI	ATP-dependent zinc metalloprotease FtsH	leading protein	23	68	23
PRT790_3_P0A7D4	P0A7D4	PURA_ECOLI	Adenylosuccinate synthetase	leading protein	23	177	23
PRT790_3_P0A6K6	P0A6K6	DEOB_ECOLI	Phosphopentomutase	leading protein	23	116	23
PRT790_3_P0ADY1	P0ADY1	PPID_ECOLI	Peptidyl-prolyl cis-trans isomerase D	leading protein	23	54	23
PRT790_3_P0AG30	P0AG30	RHO_ECOLI	Transcription termination factor Rho	leading protein	23	91	23
PRT790_3_P22523	P22523	MUKB_ECOLI	Chromosome partition protein MukB	leading protein	23	36	23
PRT790_3_P0AC33	P0AC33	FUMA_ECOLI	Fumarate hydratase class I, aerobic	leading protein	23	91	11
PRT790_3_P11349	P11349	NARH_ECOLI	Respiratory nitrate reductase 1 beta chain	leading protein	22	67	16
PRT790_3_P00962	P00962	SYQ_ECOLI	Glutamine--tRNA ligase	leading protein	22	61	22
PRT790_3_P06959	P06959	ODP2_ECOLI	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	leading protein	22	180	22
PRT790_3_P0A7Z4	P0A7Z4	RPOA_ECOLI	DNA-directed RNA polymerase subunit alpha	leading protein	22	132	22
PRT790_3_P0A7E5	P0A7E5	PYRG_ECOLI	CTP synthase	leading protein	22	52	22
PRT790_3_P0CE47	P0CE47	EFTU1_ECOLI	Elongation factor Tu 1	leading protein	22	821	0
PRT790_3_P26616	P26616	MAO1_ECOLI	NAD-dependent malic enzyme	leading protein	22	61	22
PRT790_3_P00509	P00509	AAT_ECOLI	Aspartate aminotransferase	leading protein	22	79	22
PRT790_3_P0AEX9	P0AEX9	MALE_ECOLI	Maltose/maltodextrin-binding periplasmic protein	leading protein	22	203	22
PRT790_3_P23847	P23847	DPPA_ECOLI	Periplasmic dipeptide transport protein	leading protein	21	162	21
PRT790_3_P08200	P08200	IDH_ECOLI	Isocitrate dehydrogenase [NADP]	leading protein	21	220	21
PRT790_3_P30958	P30958	MFD_ECOLI	Transcription-repair-coupling factor	leading protein	21	35	21
PRT790_3_P17169	P17169	GLMS_ECOLI	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	leading protein	21	66	21
PRT790_3_P31554	P31554	LPTD_ECOLI	LPS-assembly protein LptD	leading protein	21	35	21
