protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT802_1_Q15149	Q15149	PLEC_HUMAN	Plectin	Representative isoform	307	1245	298
PRT802_1_Q09666	Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK	Representative isoform	247	968	247
PRT802_1_Q13813	Q13813	SPTN1_HUMAN	Spectrin alpha chain, non-erythrocytic 1	Representative isoform	153	673	153
PRT802_1_P35579	P35579	MYH9_HUMAN	Myosin-9	Representative isoform	149	1762	123
PRT802_1_P78527	P78527	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit	Representative isoform	147	731	146
PRT802_1_P15924	P15924	DESP_HUMAN	Desmoplakin	Representative isoform	142	545	142
PRT802_1_P21333	P21333	FLNA_HUMAN	Filamin-A	Representative isoform	141	1072	126
PRT802_1_Q7Z406	Q7Z406	MYH14_HUMAN	Myosin-14	Representative isoform	122	816	109
PRT802_1_O75369	O75369	FLNB_HUMAN	Filamin-B	Representative isoform	122	570	109
PRT802_1_Q01082	Q01082	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1	Representative isoform	120	585	109
PRT802_1_P12111	P12111	CO6A3_HUMAN	Collagen alpha-3(VI) chain	Representative isoform	119	962	119
PRT802_1_Q99715	Q99715	COCA1_HUMAN	Collagen alpha-1(XII) chain	Representative isoform	104	438	104
PRT802_1_Q14315	Q14315	FLNC_HUMAN	Filamin-C	Representative isoform	86	301	71
PRT802_1_Q14980	Q14980	NUMA1_HUMAN	Nuclear mitotic apparatus protein 1	Representative isoform	81	260	81
PRT802_1_Q00610	Q00610	CLH1_HUMAN	Clathrin heavy chain 1	Representative isoform	79	660	57
PRT802_1_Q63HN8	Q63HN8	RN213_HUMAN	E3 ubiquitin-protein ligase RNF213	Representative isoform	76	191	76
PRT802_1_Q7Z6Z7	Q7Z6Z7	HUWE1_HUMAN	E3 ubiquitin-protein ligase HUWE1	Representative isoform	76	228	76
PRT802_1_P02751	P02751	FINC_HUMAN	Fibronectin	Representative isoform	76	587	76
PRT802_1_Q9P2E9	Q9P2E9	RRBP1_HUMAN	Ribosome-binding protein 1	Representative isoform	75	393	74
PRT802_1_P18206	P18206	VINC_HUMAN	Vinculin	Representative isoform	73	450	73
PRT802_1_Q9NZM1	Q9NZM1	MYOF_HUMAN	Myoferlin	Representative isoform	72	198	70
PRT802_1_O75643	O75643	U520_HUMAN	U5 small nuclear ribonucleoprotein 200 kDa helicase	Representative isoform	67	256	67
