protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT797_1_P78527	P78527	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit	Representative isoform	80	490	80
PRT797_1_P35579	P35579	MYH9_HUMAN	Myosin-9	Representative isoform	76	356	65
PRT797_1_P31327	P31327	CPSM_HUMAN	Carbamoyl-phosphate synthase [ammonia], mitochondrial	Representative isoform	76	659	76
PRT797_1_P07900	P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha	Representative isoform	62	1315	30
PRT797_1_P11142	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	Representative isoform	54	986	39
PRT797_1_P21333	P21333	FLNA_HUMAN	Filamin-A	Representative isoform	51	166	47
PRT797_1_Q13428	Q13428	TCOF_HUMAN	Treacle protein	Representative isoform	50	178	50
PRT797_1_P31948	P31948	STIP1_HUMAN	Stress-induced-phosphoprotein 1	Representative isoform	50	413	49
PRT797_1_Q14247	Q14247	SRC8_HUMAN	Src substrate cortactin	Representative isoform	48	319	47
PRT797_1_P34932	P34932	HSP74_HUMAN	Heat shock 70 kDa protein 4	Representative isoform	46	175	42
PRT797_1_P10809	P10809	CH60_HUMAN	60 kDa heat shock protein, mitochondrial	Representative isoform	46	473	46
PRT797_1_P14618	P14618	KPYM_HUMAN	Pyruvate kinase PKM	Representative isoform	45	460	43
PRT797_1_O75369	O75369	FLNB_HUMAN	Filamin-B	Representative isoform	45	145	41
PRT797_1_P06733	P06733	ENOA_HUMAN	Alpha-enolase	Representative isoform	44	424	39
PRT797_1_P0DMV8	P0DMV8	HS71A_HUMAN	Heat shock 70 kDa protein 1A	Representative isoform	43	469	0
PRT797_1_P02545	P02545	LMNA_HUMAN	Prelamin-A/C	Representative isoform	41	329	40
PRT797_1_Q00610	Q00610	CLH1_HUMAN	Clathrin heavy chain 1	Representative isoform	38	145	29
PRT797_1_P27816	P27816	MAP4_HUMAN	Microtubule-associated protein 4	Representative isoform	36	184	35
PRT797_1_Q13813	Q13813	SPTN1_HUMAN	Spectrin alpha chain, non-erythrocytic 1	Representative isoform	36	91	36
PRT797_1_P49588	P49588	SYAC_HUMAN	Alanine--tRNA ligase, cytoplasmic	Representative isoform	35	360	35
PRT797_1_Q04637	Q04637	IF4G1_HUMAN	Eukaryotic translation initiation factor 4 gamma 1	Representative isoform	35	169	31
PRT797_1_P00558	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1	Representative isoform	35	196	29
PRT797_1_P12270	P12270	TPR_HUMAN	Nucleoprotein TPR	Representative isoform	35	98	35
PRT797_1_P29401	P29401	TKT_HUMAN	Transketolase	Representative isoform	33	238	32
PRT797_1_P50990	P50990	TCPQ_HUMAN	T-complex protein 1 subunit theta	Representative isoform	33	307	33
PRT797_1_P07355	P07355	ANXA2_HUMAN	Annexin A2	Representative isoform	33	204	3
PRT797_1_Q92598	Q92598	HS105_HUMAN	Heat shock protein 105 kDa	Representative isoform	32	134	28
PRT797_1_P22314	P22314	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1	Representative isoform	30	249	30
PRT797_1_P04075	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A	Representative isoform	29	246	24
PRT797_1_P30622	P30622	CLIP1_HUMAN	CAP-Gly domain-containing linker protein 1	Representative isoform	29	62	27
PRT797_1_Q12931	Q12931	TRAP1_HUMAN	Heat shock protein 75 kDa, mitochondrial	Representative isoform	28	327	27
PRT797_1_Q8NC51	Q8NC51	PAIRB_HUMAN	Plasminogen activator inhibitor 1 RNA-binding protein	Representative isoform	28	234	28
PRT797_1_P68104	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1	Representative isoform	28	482	1
PRT797_1_P53396	P53396	ACLY_HUMAN	ATP-citrate synthase	Representative isoform	28	145	28
PRT797_1_P04406	P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase	Representative isoform	28	643	28
PRT797_1_P00338	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain	Representative isoform	27	276	24
PRT797_1_P78371	P78371	TCPB_HUMAN	T-complex protein 1 subunit beta	Representative isoform	27	171	27
