protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT825_6_P16546	P16546	SPTN1_MOUSE	Spectrin alpha chain, non-erythrocytic 1	Representative isoform	57	96	0
PRT825_6_Q62261	Q62261	SPTB2_MOUSE	Spectrin beta chain, non-erythrocytic 1	Representative isoform	56	76	7
PRT825_6_Q60597	Q60597	ODO1_MOUSE	2-oxoglutarate dehydrogenase, mitochondrial	Representative isoform	38	90	1
PRT825_6_P63038	P63038	CH60_MOUSE	60 kDa heat shock protein, mitochondrial	Representative isoform	37	180	24
PRT825_6_Q8K0L3	Q8K0L3	ACSM2_MOUSE	Acyl-coenzyme A synthetase ACSM2, mitochondrial	Representative isoform	32	172	11
PRT825_6_Q9CPY7	Q9CPY7	AMPL_MOUSE	Cytosol aminopeptidase	Representative isoform	25	94	21
PRT825_6_Q9R0H0	Q9R0H0	ACOX1_MOUSE	Peroxisomal acyl-coenzyme A oxidase 1	Representative isoform	25	78	2
PRT825_6_P34914	P34914	HYES_MOUSE	Bifunctional epoxide hydrolase 2	Representative isoform	23	77	5
PRT825_6_Q64516	Q64516	GLPK_MOUSE	Glycerol kinase	Representative isoform	23	64	0
PRT825_6_Q61598	Q61598	GDIB_MOUSE	Rab GDP dissociation inhibitor beta	Representative isoform	22	60	3
PRT825_6_Q3UNX5	Q3UNX5	ACSM3_MOUSE	Acyl-coenzyme A synthetase ACSM3, mitochondrial	Representative isoform	21	45	21
PRT825_6_P61922	P61922	GABT_MOUSE	4-aminobutyrate aminotransferase, mitochondrial	Representative isoform	21	44	12
PRT825_6_Q9DBF1	Q9DBF1	AL7A1_MOUSE	Alpha-aminoadipic semialdehyde dehydrogenase	Representative isoform	20	80	6
PRT825_6_P01027	P01027	CO3_MOUSE	Complement C3	Representative isoform	20	34	17
PRT825_6_Q8CC88	Q8CC88	VWA8_MOUSE	von Willebrand factor A domain-containing protein 8	Representative isoform	20	28	20
PRT825_6_Q91VA0	Q91VA0	ACSM1_MOUSE	Acyl-coenzyme A synthetase ACSM1, mitochondrial	Representative isoform	20	49	2
PRT825_6_P32020	P32020	NLTP_MOUSE	Non-specific lipid-transfer protein	Representative isoform	19	52	15
PRT825_6_P50516	P50516	VATA_MOUSE	V-type proton ATPase catalytic subunit A	Representative isoform	19	36	13
PRT825_6_P97807	P97807	FUMH_MOUSE	Fumarate hydratase, mitochondrial	Representative isoform	19	72	18
PRT825_6_Q9CZN7	Q9CZN7	GLYM_MOUSE	Serine hydroxymethyltransferase, mitochondrial	Representative isoform	18	45	17
