protein_id	accession	symbol	name	protein_type	pep_count	psm_count	uniq_pep_count
PRT869_1_Q09666	Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK	Representative isoform	57	278	57
PRT869_1_Q15149	Q15149	PLEC_HUMAN	Plectin	Representative isoform	46	213	45
PRT869_1_P21333	P21333	FLNA_HUMAN	Filamin-A	Representative isoform	42	287	41
PRT869_1_P31327	P31327	CPSM_HUMAN	Carbamoyl-phosphate synthase [ammonia], mitochondrial	Representative isoform	36	306	36
PRT869_1_O75369	O75369	FLNB_HUMAN	Filamin-B	Representative isoform	34	166	31
PRT869_1_Q00610	Q00610	CLH1_HUMAN	Clathrin heavy chain 1	Representative isoform	31	236	24
PRT869_1_P78527	P78527	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit	Representative isoform	30	115	30
PRT869_1_P10809	P10809	CH60_HUMAN	60 kDa heat shock protein, mitochondrial	Representative isoform	26	495	26
PRT869_1_O43707	O43707	ACTN4_HUMAN	Alpha-actinin-4	Representative isoform	23	144	13
PRT869_1_Q13813	Q13813	SPTN1_HUMAN	Spectrin alpha chain, non-erythrocytic 1	Representative isoform	22	77	22
PRT869_1_P07900	P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha	Representative isoform	22	556	10
PRT869_1_P14618	P14618	KPYM_HUMAN	Pyruvate kinase PKM	Representative isoform	21	352	20
PRT869_1_P0DMV8	P0DMV8	HS71A_HUMAN	Heat shock 70 kDa protein 1A	Representative isoform	21	225	0
PRT869_1_P11142	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	Representative isoform	19	362	15
PRT869_1_P12814	P12814	ACTN1_HUMAN	Alpha-actinin-1	Representative isoform	19	93	8
PRT869_1_P34932	P34932	HSP74_HUMAN	Heat shock 70 kDa protein 4	Representative isoform	18	77	16
PRT869_1_Q14980	Q14980	NUMA1_HUMAN	Nuclear mitotic apparatus protein 1	Representative isoform	18	52	18
PRT869_1_P06733	P06733	ENOA_HUMAN	Alpha-enolase	Representative isoform	18	444	14
PRT869_1_P22314	P22314	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1	Representative isoform	17	151	17
PRT869_1_P02545	P02545	LMNA_HUMAN	Prelamin-A/C	Representative isoform	16	142	16
PRT869_1_O00410	O00410	IPO5_HUMAN	Importin-5	Representative isoform	16	60	15
PRT869_1_P04075	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A	Representative isoform	16	238	14
PRT869_1_Q01082	Q01082	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1	Representative isoform	16	60	16
PRT869_1_P78371	P78371	TCPB_HUMAN	T-complex protein 1 subunit beta	Representative isoform	16	110	16
PRT869_1_O75643	O75643	U520_HUMAN	U5 small nuclear ribonucleoprotein 200 kDa helicase	Representative isoform	16	54	16
PRT869_1_P05787	P05787	K2C8_HUMAN	Keratin, type II cytoskeletal 8	Representative isoform	15	149	12
PRT869_1_P29401	P29401	TKT_HUMAN	Transketolase	Representative isoform	15	217	15
PRT869_1_Q14697	Q14697	GANAB_HUMAN	Neutral alpha-glucosidase AB	Representative isoform	15	74	15
PRT869_1_P25705	P25705	ATPA_HUMAN	ATP synthase subunit alpha, mitochondrial	Representative isoform	14	160	14
PRT869_1_P12270	P12270	TPR_HUMAN	Nucleoprotein TPR	Representative isoform	14	43	14
PRT869_1_P46013	P46013	KI67_HUMAN	Proliferation marker protein Ki-67	Representative isoform	14	33	14
PRT869_1_P25205	P25205	MCM3_HUMAN	DNA replication licensing factor MCM3	Representative isoform	14	79	14
PRT869_1_Q08211	Q08211	DHX9_HUMAN	ATP-dependent RNA helicase A	Representative isoform	14	98	14
PRT869_1_P08195	P08195	4F2_HUMAN	4F2 cell-surface antigen heavy chain	Representative isoform	14	152	14
PRT869_1_P12956	P12956	XRCC6_HUMAN	X-ray repair cross-complementing protein 6	Representative isoform	14	138	14
PRT869_1_P68363	P68363	TBA1B_HUMAN	Tubulin alpha-1B chain	Representative isoform	14	256	0
PRT869_1_P68104	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1	Representative isoform	13	257	1
PRT869_1_P22102	P22102	PUR2_HUMAN	Trifunctional purine biosynthetic protein adenosine-3	Representative isoform	13	67	13
PRT869_1_P07355	P07355	ANXA2_HUMAN	Annexin A2	Representative isoform	13	115	5
PRT869_1_P04406	P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase	Representative isoform	12	381	12
PRT869_1_P13797	P13797	PLST_HUMAN	Plastin-3	Representative isoform	12	79	9
PRT869_1_Q9NR30	Q9NR30	DDX21_HUMAN	Nucleolar RNA helicase 2	Representative isoform	12	82	10
PRT869_1_Q13263	Q13263	TIF1B_HUMAN	Transcription intermediary factor 1-beta	Representative isoform	12	99	12
PRT869_1_P18206	P18206	VINC_HUMAN	Vinculin	Representative isoform	12	52	12
PRT869_1_Q15029	Q15029	U5S1_HUMAN	116 kDa U5 small nuclear ribonucleoprotein component	Representative isoform	12	38	12
PRT869_1_P50990	P50990	TCPQ_HUMAN	T-complex protein 1 subunit theta	Representative isoform	12	99	12
PRT869_1_P68366	P68366	TBA4A_HUMAN	Tubulin alpha-4A chain	Representative isoform	11	192	1
PRT869_1_Q00839	Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U	Representative isoform	11	76	11
PRT869_1_P61978	P61978	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K	Representative isoform	11	119	11
PRT869_1_P22626	P22626	ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1	Representative isoform	11	130	10
PRT869_1_P49368	P49368	TCPG_HUMAN	T-complex protein 1 subunit gamma	Representative isoform	11	81	11
PRT869_1_Q99832	Q99832	TCPH_HUMAN	T-complex protein 1 subunit eta	Representative isoform	11	81	11
PRT869_1_P49588	P49588	SYAC_HUMAN	Alanine--tRNA ligase, cytoplasmic	Representative isoform	11	61	11
PRT869_1_P05023	P05023	AT1A1_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-1	Representative isoform	11	79	5
PRT869_1_P43243	P43243	MATR3_HUMAN	Matrin-3	Representative isoform	11	51	11
PRT869_1_P60174	P60174	TPIS_HUMAN	Triosephosphate isomerase	Representative isoform	11	110	11
PRT869_1_Q9Y4L1	Q9Y4L1	HYOU1_HUMAN	Hypoxia up-regulated protein 1	Representative isoform	11	44	11
PRT869_1_Q92598	Q92598	HS105_HUMAN	Heat shock protein 105 kDa	Representative isoform	11	55	9
PRT869_1_P53396	P53396	ACLY_HUMAN	ATP-citrate synthase	Representative isoform	10	70	10
PRT869_1_P55060	P55060	XPO2_HUMAN	Exportin-2	Representative isoform	10	37	10
PRT869_1_Q12931	Q12931	TRAP1_HUMAN	Heat shock protein 75 kDa, mitochondrial	Representative isoform	10	129	9
PRT869_1_P27816	P27816	MAP4_HUMAN	Microtubule-associated protein 4	Representative isoform	10	47	10
PRT869_1_P16615	P16615	AT2A2_HUMAN	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	Representative isoform	10	45	7
PRT869_1_P31040	P31040	SDHA_HUMAN	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	Representative isoform	10	58	10
PRT869_1_P62258	P62258	1433E_HUMAN	14-3-3 protein epsilon	Representative isoform	10	91	10
PRT869_1_O75533	O75533	SF3B1_HUMAN	Splicing factor 3B subunit 1	Representative isoform	10	41	10
PRT869_1_P29692	P29692	EF1D_HUMAN	Elongation factor 1-delta	Representative isoform	10	92	8
PRT869_1_P52209	P52209	6PGD_HUMAN	6-phosphogluconate dehydrogenase, decarboxylating	Representative isoform	10	80	10
PRT869_1_P50395	P50395	GDIB_HUMAN	Rab GDP dissociation inhibitor beta	Representative isoform	10	83	7
PRT869_1_P35232	P35232	PHB_HUMAN	Prohibitin	Representative isoform	10	60	10
PRT869_1_P00558	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1	Representative isoform	10	125	8
PRT869_1_Q04637	Q04637	IF4G1_HUMAN	Eukaryotic translation initiation factor 4 gamma 1	Representative isoform	10	48	9
PRT869_1_P00338	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain	Representative isoform	9	151	7
PRT869_1_P54136	P54136	SYRC_HUMAN	Arginine--tRNA ligase, cytoplasmic	Representative isoform	9	33	9
PRT869_1_P50991	P50991	TCPD_HUMAN	T-complex protein 1 subunit delta	Representative isoform	9	66	8
PRT869_1_Q9BQG0	Q9BQG0	MBB1A_HUMAN	Myb-binding protein 1A	Representative isoform	9	25	9
PRT869_1_Q01813	Q01813	PFKAP_HUMAN	ATP-dependent 6-phosphofructokinase, platelet type	Representative isoform	9	36	7
PRT869_1_P60842	P60842	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I	Representative isoform	9	116	6
PRT869_1_Q15084	Q15084	PDIA6_HUMAN	Protein disulfide-isomerase A6	Representative isoform	9	105	9
PRT869_1_P05388	P05388	RLA0_HUMAN	60S acidic ribosomal protein P0	Representative isoform	9	78	3
PRT869_1_P35998	P35998	PRS7_HUMAN	26S proteasome regulatory subunit 7	Representative isoform	9	42	9
PRT869_1_Q14974	Q14974	IMB1_HUMAN	Importin subunit beta-1	Representative isoform	9	45	9
PRT869_1_Q13501	Q13501	SQSTM_HUMAN	Sequestosome-1	Representative isoform	9	68	9
PRT869_1_Q08J23	Q08J23	NSUN2_HUMAN	RNA cytosine C(5)-methyltransferase NSUN2	Representative isoform	9	45	9
PRT869_1_O00571	O00571	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X	Representative isoform	9	47	2
PRT869_1_P56192	P56192	SYMC_HUMAN	Methionine--tRNA ligase, cytoplasmic	Representative isoform	9	26	9
PRT869_1_P31939	P31939	PUR9_HUMAN	Bifunctional purine biosynthesis protein PURH	Representative isoform	9	49	9
PRT869_1_P04844	P04844	RPN2_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	Representative isoform	8	45	8
PRT869_1_Q14247	Q14247	SRC8_HUMAN	Src substrate cortactin	Representative isoform	8	30	8
PRT869_1_P09651	P09651	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1	Representative isoform	8	104	0
PRT869_1_P11940	P11940	PABP1_HUMAN	Polyadenylate-binding protein 1	Representative isoform	8	48	2
PRT869_1_P62495	P62495	ERF1_HUMAN	Eukaryotic peptide chain release factor subunit 1	Representative isoform	8	44	8
PRT869_1_P48643	P48643	TCPE_HUMAN	T-complex protein 1 subunit epsilon	Representative isoform	8	68	8
PRT869_1_P43121	P43121	MUC18_HUMAN	Cell surface glycoprotein MUC18	Representative isoform	8	26	8
PRT869_1_P51991	P51991	ROA3_HUMAN	Heterogeneous nuclear ribonucleoprotein A3	Representative isoform	8	81	8
PRT869_1_P62937	P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A	Representative isoform	8	197	7
PRT869_1_P40926	P40926	MDHM_HUMAN	Malate dehydrogenase, mitochondrial	Representative isoform	8	57	8
PRT869_1_Q86UP2	Q86UP2	KTN1_HUMAN	Kinectin	Representative isoform	8	16	8
PRT869_1_Q12906	Q12906	ILF3_HUMAN	Interleukin enhancer-binding factor 3	Representative isoform	8	61	7
PRT869_1_Q99873	Q99873	ANM1_HUMAN	Protein arginine N-methyltransferase 1	Representative isoform	8	42	7
PRT869_1_P27824	P27824	CALX_HUMAN	Calnexin	Representative isoform	8	85	8
PRT869_1_Q9Y262	Q9Y262	EIF3L_HUMAN	Eukaryotic translation initiation factor 3 subunit L	Representative isoform	8	45	8
PRT869_1_P26641	P26641	EF1G_HUMAN	Elongation factor 1-gamma	Representative isoform	8	83	8
PRT869_1_P14314	P14314	GLU2B_HUMAN	Glucosidase 2 subunit beta	Representative isoform	8	50	8
PRT869_1_Q16881	Q16881	TRXR1_HUMAN	Thioredoxin reductase 1, cytoplasmic	Representative isoform	8	32	8
PRT869_1_Q9UQ80	Q9UQ80	PA2G4_HUMAN	Proliferation-associated protein 2G4	Representative isoform	8	53	8
PRT869_1_P53621	P53621	COPA_HUMAN	Coatomer subunit alpha	Representative isoform	8	21	8
